Nome da classe,Limites,Limites,Dados de teste dentro da classe,Dados de teste nos limites,Teste no Chrome,Link para o relatório de bug
VALIDAÇÃO DE LAYOUT,,,,,,
CABEÇALHO,Lupa de busca e campo de busca (O que deseja buscar?) do lado esquerdo,,,,REPROVADO,FALTA O TEXTO
,Logo da Green Cycle no centro,,,,APROVADO,
,Botão/Ícone da Sacola,,,,APROVADO,
,"Botão/Ícone ""Usuário"" no lado direito",,,,APROVADO,FONTE DIFERENTE - ALINHAMENTO DA SACOLA
,"Menu com botões : Loja, Sobre, Pontos de Coleta e Contato",,,,APROVADO,FALTA NEGRITO
BODY,"Ícone e Texto ""Quem Somos"" ",,,,APROVADO,
,"Foto com nome da empresa e um subtexto ""xxxx""",,,,APROVADO,
,Textos e fotos sobre a empresa,,,,APROVADO,
RODAPÉ,"Link e ícone ""Sobre""",,,,APROVADO,
,"Textos: Contato: ""E-mail"" e ""Telefone""",,,,APROVADO,
VALIDAÇÃO DE FUNCIONALIDADE,,,,,,
CABEÇALHO,Campo de busca,,,,APROVADO,
,Logo GreenCycle leva para Home,,,,APROVADO,
,Botão/Ícone da Sacola abre o popup da sacola,,,,APROVADO,
,"Botão/Ícone ""Usuário"" abre um pop com um texto ""Olá xxx"" e um botão ""Logout""",,,,APROVADO,"botão todo preto, fica ruim de visualizar"
,"Botão ""Loja"" abre a página da Loja",,,,APROVADO,
,"Botão ""Sobre"" abre a página Sobre Empresa",,,,APROVADO,
,"Botão ""Pontos de Coleta"" abre a página do Mapa",,,,APROVADO,
,"Botão ""Contato"" ancora o footer com as informações de contato",,,,APROVADO,
BODY,Produtos listados nos Destaques abre a página do produto,,,,APROVADO,
,"Botão ""Ir para a Loja >"" abre a página da loja",,,,APROVADO,
,"Botão ""Encontre um na sua região"" abre a página dos pontos de coleta",,,,APROVADO,
RODAPÉ,"Botão ""Sobre"" abre a página Sobre Empresa",,,,APROVADO,Pode abrir e levar para o inicio da página?
VALIDAÇÃO DO CAMPO BUSCAR,,,,,,
Nome da classe,Limites,Limites,Dados de teste dentro da classe,Dados de teste nos limites,status,Link para o relatório de bug
CAMPO BUSCAR,20 caracteres,20,Shirt,"19, 20 , 21",APROVADO,
,>20  caracteres,21,Cadeira de plástico r (21),"20, 21",REPROVADO,tá sem limite
,Letras latinas,,Shirt,,APROVADO,"deveria mostrar uma msg de ""Item náo encontrado""?"
,Espaços,,Cadeira de plástico,,APROVADO,
,Traços,,Cadeira - de,,REPROVADO,
,Números,,Cadeira 1,,REPROVADO,
,Simbolos,,Cadeira #,,REPROVADO,
,Campo  Vazio,,Campo Vazio,,APROVADO,Abre a loja
,Letras Não Latinas,,- 我 不 是 中国 人,,REPROVADO,
