Campo,Nome da classe,Limites,Dados de teste dentro da classe (campo de comentários),Dados de teste nos limites (campo de comentários),status,Link para o relatório de bug
VALIDAÇÃO DO FORMULÁRIO DE CADASTRO DOS USUÁRIOS,,,,,,
Nome Completo,Letras Latinas,,Green cycle,,APROVADO,
,10 a 40 caracteres,10.40,Greencyclegreencycle (20) caracteres,9.10.11 39.40.41,REPROVADO,"https://vitoriapacheco777.atlassian.net/browse/H2-15

https://vitoriapacheco777.atlassian.net/browse/H2-17"
,< 10 caracteres,,"Greencyc (8) caracteres
Greencycl (9) caracteres",8.9,REPROVADO,"https://vitoriapacheco777.atlassian.net/browse/H2-16

https://vitoriapacheco777.atlassian.net/browse/H2-15"
,> 40 caracteres,,"Greencyclegreencyclegreencyclegreencycleg 
(41) caracteres
Greencyclegreencyclegreencyclegreencyclegr
(42) caracteres",41.42,REPROVADO,"https://vitoriapacheco777.atlassian.net/browse/H2-17

https://vitoriapacheco777.atlassian.net/browse/H2-18"
,Espaços,,Green cycle,,APROVADO,
,Traços,,Green-cycle,,APROVADO,
,Obrigatório,,Campo Obrigatório,,APROVADO,
,Vazio,,Campo Vazio,,REPROVADO,https://vitoriapacheco777.atlassian.net/browse/H2-19
,Números,,Green cycle 12,,APROVADO,
,Ponto,,Green.cycle,,APROVADO,
,Vírgula,,"Green,cycle",,APROVADO,
,Caracteres especiais,,Green@cycle,,APROVADO,
,Letras Não Latinas,,我 不 是 中国 人,,REPROVADO,https://vitoriapacheco777.atlassian.net/browse/H2-20
CPF,Números,,12312312312,,APROVADO,
,11 caracteres,11,12315612312,"10,11,12",APROVADO,"https://vitoriapacheco777.atlassian.net/browse/H2-22

https://vitoriapacheco777.atlassian.net/browse/H2-23"
,< 11 caracteres,10,"123123123 (9) caracteres
1231231231 (10) caracteres",9.10,REPROVADO,"https://vitoriapacheco777.atlassian.net/browse/H2-21

https://vitoriapacheco777.atlassian.net/browse/H2-22"
,> 11 caracteres,12,"123123123123 (12) caracteres
1231231231231 (13) caracteres","12,13",REPROVADO,"https://vitoriapacheco777.atlassian.net/browse/H2-23

https://vitoriapacheco777.atlassian.net/browse/H2-24"
,Letras Latinas,,Green Cyclee,,REPROVADO,https://vitoriapacheco777.atlassian.net/browse/H2-25
,Espaços,,123123123 1,,APROVADO,
,Traços,,123123123-1,,APROVADO,
,Obrigatório,,Campo Obrigatório,,APROVADO,
,Vazio,,Campo Vazio,,REPROVADO,https://vitoriapacheco777.atlassian.net/browse/H2-26
,Ponto,,123123123.1,,REPROVADO,https://vitoriapacheco777.atlassian.net/browse/H2-27
,Vírgula,,"123123123,1",,REPROVADO,https://vitoriapacheco777.atlassian.net/browse/H2-28
,Caracteres especiais,,12@#3123123,,APROVADO,
,Letras Não Latinas,,我 不 是 中国 人,,APROVADO,
E-mail,5 a 50 caracteres,5.50,greencyclegreencyclegreen (25) caracteres,4.5.6.49.50.51,REPROVADO,"https://vitoriapacheco777.atlassian.net/browse/H2-30

https://vitoriapacheco777.atlassian.net/browse/H2-31"
,< 5 caracteres,4,"gre (3) caracteres
gree (4) caracteres",3.4,REPROVADO,"https://vitoriapacheco777.atlassian.net/browse/H2-29

https://vitoriapacheco777.atlassian.net/browse/H2-30"
,> 50 caracteres,51,"greencyclegreencyclegreencyclegreencyclegreencycleg 
(51) caracteres
greencyclegreencyclegreencyclegreencyclegreencyclegr 
(52) caracteres",51.52,REPROVADO,"https://vitoriapacheco777.atlassian.net/browse/H2-31

https://vitoriapacheco777.atlassian.net/browse/H2-32"
,Letras latinas ,,green cycle,,APROVADO,
,Espaços ,,green cycle,,REPROVADO,https://vitoriapacheco777.atlassian.net/browse/H2-33
,Traços ,,green-cylcle,,APROVADO,
,Obrigatorio,,Campo obrigatorio,,APROVADO,
,Vazio,,Campo Vazio,,REPROVADO,https://vitoriapacheco777.atlassian.net/browse/H2-35
,Números ,,123123123123,,APROVADO,
,Caracteres especiais ,,!@#!@#!@#!@#!@#,,APROVADO,
,Letras Não Latinas,,我 不 是 中国 人,,REPROVADO,https://vitoriapacheco777.atlassian.net/browse/H2-34
Telefone,11 caracteres,11,(+1234567891)  (11) caracteres,10.11.12,REPROVADO,"https://vitoriapacheco777.atlassian.net/browse/H2-50

https://vitoriapacheco777.atlassian.net/browse/H2-51"
,< 11 caracteres,10,"(+12345655)  (9) caracteres
(+123456781)  (10) caracteres",9.10,REPROVADO,"https://vitoriapacheco777.atlassian.net/browse/H2-49

https://vitoriapacheco777.atlassian.net/browse/H2-50"
,> 11 caracteres,12,"(+12345678912)  (12) caracteres
(+123456789236)  (13) caracteres",12.13,REPROVADO,"https://vitoriapacheco777.atlassian.net/browse/H2-51

https://vitoriapacheco777.atlassian.net/browse/H2-52"
,"Apenas números e o símbolo ""+""",,(+12345678911),,APROVADO,
,"Sem o símbolo ""+""",,12345678911,,APROVADO,
,Campo Obrigatorio,,Campo obrigatorio,,APROVADO,
,Campo  Vazio,,Campo Vazio,,APROVADO,
Senha,8 a 12 caracteres,8.12,Green51723  (10) caracteres,7.8.9.11.12.13,REPROVADO,https://vitoriapacheco777.atlassian.net/browse/H2-53
,< 8 caracteres,8,"Abcd35 (6) caracteres
Abcd345  (7) caracteres",6.7,APROVADO,
,> 12 caracteres,12,"Green51c231ee  (13) caracteres
Green51c231eec  (14) caracteres",13.14,REPROVADO,"https://vitoriapacheco777.atlassian.net/browse/H2-53

https://vitoriapacheco777.atlassian.net/browse/H2-54"
,Letras Latinas,,Green8cycle,,APROVADO,
,Espaços,,Gre9n cycle,,APROVADO,
,Traços,,Gr8en-cycle,,APROVADO,
,Obrigatório,,Campo Obrigatório,,APROVADO,
,Vazio,,Campo Vazio,,APROVADO,
,Números,,Green8cycle,,APROVADO,
,Ponto,,Gre8n.cycle,,APROVADO,
,Vírgula,,"Gre8n,cycle",,APROVADO,
,Caracteres especiais,,G@e8ncycle,,APROVADO,
,Letras Não Latinas,,我 不 8 中国 人我 不,,APROVADO,
Confirmar Senha,8 a 12 caracteres,8.12,Green51723  (10) caracteres,7.8.9.11.12.13,REPROVADO,https://vitoriapacheco777.atlassian.net/browse/H2-55
,< 8 caracteres,8,"Abcd35 (6) caracteres
Abcd345  (7) caracteres",6.7,APROVADO,
,> 12 caracteres,12,"Green51c231ee  (13) caracteres
Green51c231eec  (14) caracteres",13.14,REPROVADO,"https://vitoriapacheco777.atlassian.net/browse/H2-55

https://vitoriapacheco777.atlassian.net/browse/H2-56"
,Letras Latinas,,Green8cycle,,APROVADO,
,Espaços,,Gre9n cycle,,APROVADO,
,Traços,,Gr8en-cycle,,APROVADO,
,Obrigatório,,Campo Obrigatório,,APROVADO,
,Vazio,,Campo Vazio,,APROVADO,
,Números,,Green8cycle,,APROVADO,
,Ponto,,Gre8n.cycle,,APROVADO,
,Vírgula,,"Gre8n,cycle",,APROVADO,
,Caracteres especiais,,G@e8ncycle,,APROVADO,
,Letras Não Latinas,,我 不 8 中国 人我 不,,APROVADO,
,Igual a senha,,Igual a senha,,APROVADO,
VALIDAÇÃO DE LAYOUT ,,,,,,
CABEÇALHO,Logo da Green Cycle no centro,,,,APROVADO,
,"Menu com botões : Loja, Sobre, Pontos de Coleta e Contato",,,,APROVADO,
VALIDAÇÃO DE LAYOUT / FUNCIONALIDADES,,,,,,
CABEÇALHO,Logo GreenCycle leva para Home,,,,APROVADO,
,"Botão ""Loja"" do menu leva para a loja",,,,APROVADO,
,"Botão ""Sobre"" do menu leva para a página de informações da GreenCycle",,,,APROVADO,
,"Botão ""Pontos de coleta"" do menu leva para o mapa ",,,,APROVADO,
,"Botão ""Contato"" do menu leva para o rodapé da página",,,,APROVADO,
