Campo,Nome da classe,Limites,Dados de teste dentro da classe (campo de comentários),Dados de teste nos limites (campo de comentários),status,Link para o relatório de bug
VALIDAÇÃO DO FORMULÁRIO DE LOGIN DOS USUÁRIOS,,,,,,
E-mail,5 a 50 caracteres,5.50,greencycle@reencyclegreen (25) caracteres,4.5.6.49.50.51,REPROVADO,"https://vitoriapacheco777.atlassian.net/browse/H2-2

https://vitoriapacheco777.atlassian.net/browse/H2-5"
,< 5 caracteres,4,"g@e (3) caracteres
g@ee (4) caracteres",3.4,REPROVADO,"https://vitoriapacheco777.atlassian.net/browse/H2-1 

https://vitoriapacheco777.atlassian.net/browse/H2-2"
,> 50 caracteres,51,"greencyclegreencycle@reencyclegreencyclegreencycleg 
(51) caracteres
greencyclegreencycle@reencyclegreencyclegreencyclegr 
(52) caracteres",51.52,REPROVADO,"https://vitoriapacheco777.atlassian.net/browse/H2-5

https://vitoriapacheco777.atlassian.net/browse/H2-6"
,Letras latinas ,,green@cycle,,APROVADO,
,Espaços ,,green@cycle,,APROVADO,
,Traços ,,gree@n-cylcle,,APROVADO,
,Obrigatorio,,Campo obrigatorio,,APROVADO,
,Vazio,,Campo Vazio,,REPROVADO,https://vitoriapacheco777.atlassian.net/browse/H2-7
,Números ,,green@cycle123,,APROVADO,
,Caracteres especiais ,,green@cycle#e,,APROVADO,
,Letras Não Latinas,,我 不 是 中国 人,,REPROVADO,https://vitoriapacheco777.atlassian.net/browse/H2-8
Senha,8 a 12 caracteres,8.12,Green51723  (10) caracteres,7.8.9.11.12.13,REPROVADO,https://vitoriapacheco777.atlassian.net/browse/H2-47
,< 8 caracteres,8,"Abcd35 (6) caracteres
Abcd345  (7) caracteres",6.7,APROVADO,
,> 12 caracteres,12,"Green51c231ee  (13) caracteres
Green51c231eec  (14) caracteres",13.14,REPROVADO,"https://vitoriapacheco777.atlassian.net/browse/H2-47

https://vitoriapacheco777.atlassian.net/browse/H2-48"
,Letras Latinas,,Green8cycle,,APROVADO,
,Espaços,,Gre9n cycle,,APROVADO,
,Traços,,Gr8en-cycle,,APROVADO,
,Obrigatório,,Campo Obrigatório,,APROVADO,
,Vazio,,Campo Vazio,,APROVADO,
,Números,,Green8cycle,,APROVADO,
,Ponto,,Gre8n.cycle,,APROVADO,
,Vírgula,,"Gre8n,cycle",,APROVADO,
,Caracteres especiais,,G@e8ncycle,,APROVADO,
,Letras Não Latinas,,我 不 8 中国 人我 不,,APROVADO,
VALIDAÇÃO DE LAYOUT ,,,,,,
CABEÇALHO,Logo da Green Cycle no centro,,,,APROVADO,
,"Menu com botões : Loja, Sobre, Pontos de Coleta e Contato",,,,APROVADO,
VALIDAÇÃO DE LAYOUT / FUNCIONALIDADES,,,,,,
CABEÇALHO,Logo GreenCycle leva para Home,,,,APROVADO,
,"Botão ""Loja"" do menu leva para a loja",,,,APROVADO,
,"Botão ""Sobre"" do menu leva para a página de informações da GreenCycle",,,,APROVADO,
,"Botão ""Pontos de coleta"" do menu leva para o mapa ",,,,APROVADO,
,"Botão ""Contato"" do menu leva para o rodapé da página",,,,APROVADO,
