Nome da classe,Limites,Limites,Dados de teste dentro da classe,Dados de teste nos limites,Teste no Chrome,Link para o relatório de bug
VALIDAÇÃO DE LAYOUT,,,,,,
BODY,"Texto : ""Sacola""",,,,APROVADO,
,"Campo ""Codigo de desconto""",,,,APROVADO,
,"Botão ""Aplicar""",,,,APROVADO,
,Imagem dos item adicionados ,,,,APROVADO,
,Descriçao dos itens adicionados ,,,,APROVADO,
,Quantidade dos itens adicionados ,,,,APROVADO,
,Valor do Item adicionado ,,,,APROVADO,
,"Ícone da ""lixeira"" para deletar um produto adiionado na sacola ",,,,APROVADO,
,"""Valor"" da soma dos produgtos adicionados  ",,,,APROVADO,
,"Ícone ""X"" do lado direito para sair da sacola ",,,,APROVADO,
,"Botão ""Finalizar Compra"" ",,,,APROVADO,
,"Fonte de Texto ""Inter""",,,,APROVADO,
,"O ""Total : "" tem  um espaço e o sifrão com o valor da soma dos produtos  ",,,,REPROVADO ,
VALIDAÇÃO DE FUNCIONALIDADE,,,,,,
BODY,"Ao clicar no Ícone ""Sacola"" na lateral direita abre um pop-up da sacola ",,,,APROVADO,
,"Ao clicar no Ícone ""Lixeira"" na lateral direita o item é excluido ",,,,APROVADO,
,"Ao clicar no Ícone ""Lixeira"" na lateral direita o valor é excluido na soma total ",,,,APROVADO,
,"Ao clicar em ""Finalizar compra"" o pop-up fecha e entra na area de pagamento ",,,,APROVADO,
,"Ao inserir o cupon ""TEST10"" e aplicar o valor é desconto do total da compra",,,,APROVADO,
,,,,,APROVADO,
