Campo,Nome da classe,Limites,Dados de teste dentro da classe (campo de comentários),Dados de teste nos limites (campo de comentários),status,Link para o relatório de bug
Rua,1 a 50 caracteres,,Green cycle,,Aprovado,
,< 1 caracteres,,Green cycle,,Aprovado,
,> 50 caracteres,,Green cycle red blue,,Aprovado,
,Letras latinas,,Green cycle,,Aprovado,
,Espaços,,Green Cycle,,Aprovado,
,Traços,,Green-Cylcle,,Aprovado,
,Barras,,Green/Cycle,,Aprovado,
,Obrigatorio,,Campo obrigatorio,,Aprovado,
,Vazio,,Campo Vazio,,Aprovado,
,Números,,123123123123,,Aprovado,
,Caracteres especiais,,!@#!@#!@#!@#!@#,,Aprovado,
,Letras Não Latinas,,- 我 不 是 中国 人,,Aprovado,
Número,1 a 5 Caracteres,,12345,,Reprovado,
,< 1 caracteres,,12G,,Reprovado,
,> 5 caracteres,,,,Reprovado,
,Letras latinas,,Green ,,Reprovado,
,Números,,123456,,Reprovado,
,Campo Obrigatorio,,Campo obrigatorio,,Reprovado,
,Campo  Vazio,,Campo Vazio,,Reprovado,
,Letras Não Latinas,,- 我 不 是 中国 人,,Reprovado,
Complemento,1 a 10 caracteres,,123G,,Aprovado,
,< 1 caracteres,,,,Aprovado,
,> 10 caracteres,,1234567891011,,Aprovado,
,Letras latinas,,Green Cycle,,Aprovado,
,Traços,,123-g,,Aprovado,
,Números,,123123123123,,Aprovado,
,Espaços,,123 g,,Aprovado,
,Campo Obrigatorio,,Campo obrigatorio,,Aprovado,
,Campo  Vazio,,Campo Vazio,,Aprovado,
,Letras Não Latinas,,- 我 不 是 中国 人,,Aprovado,
Bairro,1  a 30 caracteres,,Green Cycle,,Aprovado,
,< 1 caracteres,,,,Aprovado,
,> 30 caracteres,,Green CycleGreen CycleGreen CycleGreen Cycle,,Aprovado,
,Letras latinas,,Green Cycle,,Aprovado,
,Espaços,,Green Cycle,,Aprovado,
,Traços,,Green-Cycle,,Aprovado,
,Números,,123123123123,,Aprovado,
,Campo Obrigatorio,,Campo obrigatorio,,Aprovado,
,Campo  Vazio,,Campo Vazio,,Aprovado,
,Letras Não Latinas,,- 我 不 是 中国 人,,Aprovado,
Cidade,1 a 30 caracteres,,Green city,,Aprovado,
,<1 caracteres,,,,Aprovado,
,>30 caracteres,,Green cityGreen cityGreen cityGreen city,,Aprovado,
,Letras latinas,,Green city,,Aprovado,
,Espaços,,Green city,,Aprovado,
,Traços,,Green-city,,Aprovado,
,Campo Obrigatorio,,Campo obrigatorio,,Aprovado,
,Campo  Vazio,,Campo Vazio,,Aprovado,
,Letras Não Latinas,,- 我 不 是 中国 人,,Aprovado,
CEP,8 Caracteres,,12345678,,Reprovado,
,< 8 caracteres,,1234567,,Reprovado,
,> 8 caracteres,,123456789,,Reprovado,
,Números,,12345678,,Reprovado,
,Campo Obrigatorio,,Campo obrigatorio,,Reprovado,
,Campo  Vazio,,Campo Vazio,,Reprovado,
Telefone,10 a 12 caracteres,,(+12345678911),,Reprovado,
,< 10 caracteres,,(+123456),,Reprovado,
,> 10 caracteres,,(+1234567811111911),,Reprovado,
,"Apenas números e o símbolo ""+""",,(+12345678911),,Reprovado,
,"Sem o símbolo ""+""",,-12345678911,,Reprovado,
,Campo Obrigatorio,,Campo obrigatorio,,Reprovado,
,Campo  Vazio,,Campo Vazio,,Reprovado,
